alias;normalized_alias;part_name;group_name;subgroup_name;synonyms
воздушный фильтр;воздушный фильтр;Воздушный фильтр;Фильтры и обслуживание;Воздушный фильтр;фильтр воздуха,фильтр воздушный,air filter,фильтр двс
фильтр воздуха;фильтр воздуха;Воздушный фильтр;Фильтры и обслуживание;Воздушный фильтр;воздушный фильтр,фильтр воздушный,air filter,фильтр двс
фильтр воздушный;фильтр воздушный;Воздушный фильтр;Фильтры и обслуживание;Воздушный фильтр;воздушный фильтр,фильтр воздуха,air filter,фильтр двс
air filter;air filter;Воздушный фильтр;Фильтры и обслуживание;Воздушный фильтр;воздушный фильтр,фильтр воздуха,фильтр воздушный,фильтр двс
фильтр двс;фильтр двс;Воздушный фильтр;Фильтры и обслуживание;Воздушный фильтр;воздушный фильтр,фильтр воздуха,фильтр воздушный,air filter
масляный фильтр;масляный фильтр;Масляный фильтр;Фильтры и обслуживание;Масляный фильтр;фильтр масла,oil filter,маслофильтр,фильтр двигателя
фильтр масла;фильтр масла;Масляный фильтр;Фильтры и обслуживание;Масляный фильтр;масляный фильтр,oil filter,маслофильтр,фильтр двигателя
oil filter;oil filter;Масляный фильтр;Фильтры и обслуживание;Масляный фильтр;масляный фильтр,фильтр масла,маслофильтр,фильтр двигателя
маслофильтр;маслофильтр;Масляный фильтр;Фильтры и обслуживание;Масляный фильтр;масляный фильтр,фильтр масла,oil filter,фильтр двигателя
фильтр двигателя;фильтр двигателя;Масляный фильтр;Фильтры и обслуживание;Масляный фильтр;масляный фильтр,фильтр масла,oil filter,маслофильтр
топливный фильтр;топливный фильтр;Топливный фильтр;Фильтры и обслуживание;Топливный фильтр;фильтр топлива,fuel filter,фильтр бензина,фильтр дизеля
фильтр топлива;фильтр топлива;Топливный фильтр;Фильтры и обслуживание;Топливный фильтр;топливный фильтр,fuel filter,фильтр бензина,фильтр дизеля
fuel filter;fuel filter;Топливный фильтр;Фильтры и обслуживание;Топливный фильтр;топливный фильтр,фильтр топлива,фильтр бензина,фильтр дизеля
фильтр бензина;фильтр бензина;Топливный фильтр;Фильтры и обслуживание;Топливный фильтр;топливный фильтр,фильтр топлива,fuel filter,фильтр дизеля
фильтр дизеля;фильтр дизеля;Топливный фильтр;Фильтры и обслуживание;Топливный фильтр;топливный фильтр,фильтр топлива,fuel filter,фильтр бензина
